gene,essential
Avin_26340,False
Avin_26440,False
Avin_26510,False
Avin_26820,False
Avin_26830,False
Avin_26910,False
Avin_26940,False
Avin_27080,False
Avin_27130,False
Avin_27180,False
Avin_27200,False
Avin_27210,False
Avin_27220,False
Avin_27240,False
Avin_27250,True
Avin_27260,False
Avin_27280,True
Avin_27320,False
Avin_27330,False
Avin_27340,False
Avin_27360,False
Avin_27370,False
Avin_27400,False
Avin_27440,False
Avin_27480,False
Avin_27490,False
Avin_27520,True
Avin_27590,False
Avin_27790,False
Avin_27990,False
Avin_28000,False
Avin_28020,False
Avin_28170,False
Avin_28180,True
Avin_28190,False
Avin_28230,True
Avin_28310,True
Avin_28380,True
Avin_28440,False
Avin_28450,False
Avin_28460,False
Avin_28470,False
Avin_28480,False
Avin_28490,False
Avin_28500,False
Avin_28510,False
Avin_28520,False
Avin_28530,False
Avin_28540,False
Avin_28550,False
Avin_28560,False
Avin_28600,False
Avin_28640,False
Avin_28720,True
Avin_28790,False
Avin_28810,False
Avin_28820,False
Avin_28840,False
Avin_29000,False
Avin_29030,True
Avin_29050,True
Avin_29060,True
Avin_29210,False
Avin_29220,False
Avin_29240,False
Avin_29280,False
Avin_29330,False
Avin_29400,False
Avin_29410,False
Avin_29450,False
Avin_29510,True
Avin_29580,False
Avin_29620,False
Avin_29660,False
Avin_29670,False
Avin_29680,False
Avin_29690,True
Avin_29700,False
Avin_29710,False
Avin_29730,False
Avin_29740,False
Avin_29750,True
Avin_29760,False
Avin_29770,True
Avin_29780,True
Avin_29790,True
Avin_29800,True
Avin_29810,True
Avin_29820,True
Avin_29870,True
Avin_29880,False
Avin_29890,False
Avin_29910,False
Avin_29930,False
Avin_29960,False
Avin_30070,False
Avin_30140,False
Avin_30170,False
Avin_30250,False
Avin_30290,False
Avin_30360,False
Avin_30370,False
Avin_30380,True
Avin_30390,False
Avin_30400,False
Avin_30410,False
Avin_30420,False
Avin_30430,False
Avin_30440,False
Avin_30450,False
Avin_30470,False
Avin_30480,False
Avin_30490,False
Avin_30500,False
Avin_30510,False
Avin_30520,False
Avin_30540,False
Avin_30550,False
Avin_30570,False
Avin_30580,False
Avin_30600,False
Avin_30610,False
Avin_30620,False
Avin_30770,False
Avin_30880,False
Avin_30890,False
Avin_30900,False
Avin_30910,False
Avin_30920,False
Avin_30930,False
Avin_31100,False
Avin_31130,True
Avin_31190,False
Avin_31200,False
Avin_31210,False
Avin_31520,True
Avin_31530,True
Avin_31680,False
Avin_31720,False
Avin_31730,False
Avin_31740,False
Avin_31750,False
Avin_31800,False
Avin_32110,False
Avin_32220,False
Avin_32390,False
Avin_32500,False
Avin_32510,False
Avin_32530,False
Avin_32550,False
Avin_32660,False
Avin_32700,False
Avin_32850,False
Avin_32890,False
Avin_33050,False
Avin_33060,False
Avin_33080,False
Avin_33130,False
Avin_33170,False
Avin_33180,False
Avin_33210,False
Avin_33260,False
Avin_33290,True
Avin_33300,True
Avin_33610,False
Avin_33690,False
Avin_33710,False
Avin_33770,False
Avin_33780,False
Avin_33790,False
Avin_33820,False
Avin_33860,False
Avin_33870,False
Avin_34070,True
Avin_34140,False
Avin_34150,True
Avin_34180,True
Avin_34190,True
Avin_34210,False
Avin_34250,True
Avin_34260,False
Avin_34270,True
Avin_34280,False
Avin_34330,False
Avin_34340,False
Avin_34420,False
Avin_34450,True
Avin_34460,True
Avin_34480,False
Avin_34500,True
Avin_34530,False
Avin_34550,False
Avin_34560,False
Avin_34670,False
Avin_34840,False
Avin_34850,False
Avin_34880,False
Avin_34900,False
Avin_34960,False
Avin_35030,False
Avin_35070,False
Avin_35100,False
Avin_35230,False
Avin_35320,True
Avin_35340,False
Avin_35360,False
Avin_35390,True
Avin_35470,False
Avin_35500,False
Avin_35770,False
Avin_35820,False
Avin_35870,False
Avin_35900,False
Avin_36100,False
Avin_36580,False
Avin_36600,False
Avin_36730,True
Avin_36750,True
Avin_36820,False
Avin_36830,False
Avin_36890,True
Avin_36900,False
Avin_36950,False
Avin_37010,False
Avin_37020,False
Avin_37060,False
Avin_37080,False
Avin_37770,False
Avin_37780,False
Avin_37800,False
Avin_37820,False
Avin_37830,False
Avin_37920,False
Avin_38000,False
Avin_38040,False
Avin_38050,False
Avin_38070,False
Avin_38080,False
Avin_38150,False
Avin_38180,False
Avin_38200,False
Avin_38280,False
Avin_38410,False
Avin_38440,False
Avin_38450,False
Avin_38470,False
Avin_38520,False
Avin_38570,False
Avin_38630,False
Avin_38710,False
Avin_38730,False
Avin_38740,False
Avin_38750,False
Avin_38770,False
Avin_38790,False
Avin_38800,True
Avin_38810,True
Avin_38830,True
Avin_38860,False
Avin_38870,False
Avin_38880,False
Avin_38890,True
Avin_38930,True
Avin_38940,False
Avin_38970,True
Avin_39090,False
Avin_39100,False
Avin_39110,False
Avin_39150,True
Avin_39280,True
Avin_39300,False
Avin_39390,True
Avin_39430,False
Avin_39480,True
Avin_39490,False
Avin_39500,True
Avin_39610,False
Avin_39660,True
Avin_39680,True
Avin_39690,False
Avin_39720,True
Avin_39730,True
Avin_39750,False
Avin_39760,False
Avin_39950,False
Avin_39990,False
Avin_40050,False
Avin_40070,False
Avin_40210,False
Avin_40280,True
Avin_40290,True
Avin_40330,False
Avin_40380,False
Avin_40390,False
Avin_40400,True
Avin_40420,False
Avin_40440,False
Avin_40760,True
Avin_40810,False
Avin_40970,True
Avin_40980,False
Avin_41090,False
Avin_41100,False
Avin_41120,True
Avin_41130,False
Avin_41140,False
Avin_41290,False
Avin_41330,True
Avin_41350,False
Avin_41360,False
Avin_41370,True
Avin_41440,True
Avin_41450,True
Avin_41480,True
Avin_41510,True
Avin_41520,True
Avin_41710,False
Avin_41760,False
Avin_41890,False
Avin_42110,False
Avin_42120,False
Avin_42130,False
Avin_42150,False
Avin_42170,False
Avin_42180,False
Avin_42190,False
Avin_42200,False
Avin_42320,False
Avin_42390,False
Avin_42400,False
Avin_42440,False
Avin_42490,False
Avin_42500,True
Avin_42510,False
Avin_42520,False
Avin_42560,False
Avin_42700,False
Avin_42710,False
Avin_42720,True
Avin_42730,False
Avin_42740,False
Avin_42750,False
Avin_42860,True
Avin_42870,True
Avin_42930,True
Avin_42940,True
Avin_42950,True
Avin_43070,False
Avin_43080,False
Avin_43090,False
Avin_43100,False
Avin_43250,False
Avin_43260,False
Avin_43290,False
Avin_43310,False
Avin_43320,False
Avin_43330,False
Avin_43350,False
Avin_43370,False
Avin_43390,False
Avin_43400,False
Avin_43410,False
Avin_43420,False
Avin_43500,False
Avin_43510,False
Avin_43520,False
Avin_43530,False
Avin_43540,False
Avin_43690,False
Avin_43710,False
Avin_43720,False
Avin_43730,False
Avin_43750,False
Avin_43760,False
Avin_43770,False
Avin_43780,True
Avin_43850,False
Avin_43870,False
Avin_43900,False
Avin_44000,False
Avin_44020,False
Avin_44040,False
Avin_44050,False
Avin_44060,False
Avin_44210,False
Avin_44470,False
Avin_44520,False
Avin_44540,False
Avin_44580,False
Avin_44600,True
Avin_44610,True
Avin_44630,True
Avin_44680,False
Avin_44710,True
Avin_44740,False
Avin_44770,False
Avin_44830,False
Avin_44840,True
Avin_44850,True
Avin_44860,True
Avin_44880,True
Avin_44900,False
Avin_44910,True
Avin_44920,False
Avin_44940,False
Avin_45070,False
Avin_45080,False
Avin_45100,False
Avin_45140,False
Avin_45180,False
Avin_45190,True
Avin_45200,False
Avin_45210,True
Avin_45240,True
Avin_45250,True
Avin_45310,False
Avin_45330,False
Avin_45360,True
Avin_45410,True
Avin_45430,True
Avin_45440,False
Avin_45450,True
Avin_45460,False
Avin_45480,False
Avin_45590,False
Avin_45640,False
Avin_45650,False
Avin_45700,False
Avin_45710,False
Avin_45730,False
Avin_45760,False
Avin_45770,False
Avin_45840,False
Avin_45850,True
Avin_45910,False
Avin_45930,True
Avin_45950,False
Avin_45990,True
Avin_46010,False
Avin_46040,True
Avin_46050,False
Avin_46060,False
Avin_46080,False
Avin_46110,False
Avin_46120,True
Avin_46130,False
Avin_46220,False
Avin_46230,False
Avin_46260,False
Avin_46290,False
Avin_46360,False
Avin_46440,False
Avin_46590,False
Avin_46640,False
Avin_46660,False
Avin_46670,False
Avin_46690,False
Avin_46700,False
Avin_46710,False
Avin_46750,False
Avin_46800,True
Avin_46820,True
Avin_46850,False
Avin_46860,False
Avin_46950,False
Avin_46960,False
Avin_47110,False
Avin_47190,False
Avin_47260,False
Avin_47270,False
Avin_47280,False
Avin_47310,True
Avin_47320,True
Avin_47400,False
